business_id,name_,state_,city
duHFBe87uNSXImQmvBh87Q,UNKNOWN,UNKNOWN,Phoenix
2eJEUJIP54tex7T9YOcLSw,UNKNOWN,UNKNOWN,Phoenix
xmY0pzNvZKEzuN0XEqeV5w,UNKNOWN,UNKNOWN,Las Vegas
HRFJlSAP_EBU_MpPPmpUDQ,UNKNOWN,UNKNOWN,Chandler
FLTbKRmBytP1AbjWSPEeyw,UNKNOWN,UNKNOWN,Chandler
1AxEmgv8Dsr3iU9Aa40jPw,UNKNOWN,UNKNOWN,Chandler
QTH_XGh4rWYdd0fTW-tUDw,UNKNOWN,UNKNOWN,Las Vegas
SnlaPHqW3ksKfpH12pDGeg,UNKNOWN,UNKNOWN,Tempe
wJY74R0zAgjxvBf-d4gm9g,UNKNOWN,UNKNOWN,Scottsdale
G7QZWVm-ytyKHpvUq3ggFA,UNKNOWN,UNKNOWN,Pittsburgh
mAK6DD0pEOOdQzj08gWW5g,UNKNOWN,UNKNOWN,Las Vegas
81sJG9LJ9ahscSNBUYYUGw,UNKNOWN,UNKNOWN,Las Vegas
Ek4ZVbzF6vJkgqfK-576wA,UNKNOWN,UNKNOWN,Henderson
n5Bu0WBhCiQ5umCE5EzSjg,UNKNOWN,UNKNOWN,Peoria
XFQbescZxNRAb2U-NwdLlg,UNKNOWN,UNKNOWN,Scottsdale
IlIjvEc4Nikn_2GF_3MhbQ,UNKNOWN,UNKNOWN,Gilbert
MqhxKfI7oMjUTMqH2gnhyg,UNKNOWN,UNKNOWN,Champaign
29fQtyR9EtAlA75e4jGzRw,UNKNOWN,UNKNOWN,Tempe
TYGVaav4hWZioQlk9Ig78A,UNKNOWN,UNKNOWN,Las Vegas
pPNcs_59jNiQSs0Yq13bGw,UNKNOWN,UNKNOWN,Phoenix
jJDnxINrCKstFyeH3F8Cfw,UNKNOWN,UNKNOWN,Gilbert
W-3Sy3fy85mQdd0ZNFKIiw,UNKNOWN,UNKNOWN,Las Vegas
bFivfq9tbnfyokkzRpQ4GQ,UNKNOWN,UNKNOWN,Henderson
fbLYRHIZAt3q839whhaBUg,UNKNOWN,UNKNOWN,Phoenix
gIJRuXhpkjk_UI5GnnL0bQ,UNKNOWN,UNKNOWN,Phoenix
wkhxaIt6S9bQ0twAD9Svpw,UNKNOWN,UNKNOWN,Cleveland
jW4-bGuymLGlB9OBsTq3TA,UNKNOWN,UNKNOWN,Canonsburg
dXoeLzpG72P7F2Lwa01riQ,UNKNOWN,UNKNOWN,Surprise
1Ds8V2c7LlwSAA3O-9f4cA,UNKNOWN,UNKNOWN,Phoenix
Nr5Reb9duw8GvZGXkbxsYw,UNKNOWN,UNKNOWN,Las Vegas
cGHdjkXa2n9B2apkicdCXQ,UNKNOWN,UNKNOWN,Las Vegas
anA-99wAZ7PWwapVLP3iMw,UNKNOWN,UNKNOWN,Scottsdale
vjLgZg0DH_9xwcujFNb0pA,UNKNOWN,UNKNOWN,Las Vegas
5TXQxcwEfqzBDbMq2zmBPQ,UNKNOWN,UNKNOWN,Chandler
C0yiSrxaTMthwS8PzEow1Q,UNKNOWN,UNKNOWN,Phoenix
puPY7gVy7RCz8bK1zkzdoQ,UNKNOWN,UNKNOWN,Mesa
gpivFNirREOyEAwxVebR5g,UNKNOWN,UNKNOWN,Tempe
5HwBX7gq2a3HkbPusIkypg,UNKNOWN,UNKNOWN,Phoenix
zxLnc3U7SJANsjKv9XGuJw,UNKNOWN,UNKNOWN,Scottsdale
nzbQXU2x7O8oucKGthUT3g,UNKNOWN,UNKNOWN,Scottsdale
2LVuwl-eH-8PYikyFmqcTQ,UNKNOWN,UNKNOWN,Pittsburgh
sXPuI9cwF8fOe08wedGebw,UNKNOWN,UNKNOWN,Las Vegas
t6SfYTEvg0o_cfJddsqEcg,UNKNOWN,UNKNOWN,Phoenix
qsEbriXbvQVaORyJSkCEzQ,UNKNOWN,UNKNOWN,Enterprise
eS4LhsclEIMnV3BAdBRu7A,UNKNOWN,UNKNOWN,Gilbert
L6PeqeygYofucmJ5u9g_SA,UNKNOWN,UNKNOWN,Scottsdale
SOPXi9TFSXn5eV3wJxM_Bg,UNKNOWN,UNKNOWN,Scottsdale
8s-kkY82WuATczo1YPiRqA,UNKNOWN,UNKNOWN,Mesa
7fq6fN58ogXAzXzxywFX1Q,UNKNOWN,UNKNOWN,Mesa
qQQp8UzMhQK0-hZ3Bktbaw,UNKNOWN,UNKNOWN,Las Vegas
gKXsFVhWyK7MLQhSKG5_mA,UNKNOWN,UNKNOWN,Peoria
tADxMnahx6MyHeacttZRog,UNKNOWN,UNKNOWN,Phoenix
GBT2NAN_-6PmL_xzabeh7A,UNKNOWN,UNKNOWN,Las Vegas
eBA96iy-lgUGpnQhQyC_dQ,UNKNOWN,UNKNOWN,Las Vegas
gSR9bmBa0HacSuMX5BIAxg,UNKNOWN,UNKNOWN,Las Vegas
KGYHQyb83WDg5YsPtPZkwg,UNKNOWN,UNKNOWN,Las Vegas
gqGrMnDYEToXOYajBuEvKQ,UNKNOWN,UNKNOWN,Glendale
Bwj6xuHNWmI2w88DzBc1vQ,UNKNOWN,UNKNOWN,Glendale
VQaCZ5c1Etdf9qw3wAlYiQ,UNKNOWN,UNKNOWN,Glendale
D3wJGU2sSW1E1DDUcllKIQ,UNKNOWN,UNKNOWN,Las Vegas
8-Y0Pxt5afQCYBteMBhYiQ,UNKNOWN,UNKNOWN,Tempe
jMa1CR-vtBPGQCsOPGouxA,UNKNOWN,UNKNOWN,Tempe
KYvjCd1vcKpvngwWjby0kg,UNKNOWN,UNKNOWN,Henderson
U0ChiZ6G56uv0LNoS6Cd8w,UNKNOWN,UNKNOWN,Glendale
pE0ktQsw5x0chqsoMSqCUQ,UNKNOWN,UNKNOWN,Glendale
i4YvMIkD5D34rPthqLzAKg,UNKNOWN,UNKNOWN,Gilbert
JXYeMN_VyIZyrveANnIVpA,UNKNOWN,UNKNOWN,Las Vegas
3SQU0IgQ6mbV0buzH9XAZA,UNKNOWN,UNKNOWN,Mentor
xSZQa9ez44TJ0tiVHSY1Mw,UNKNOWN,UNKNOWN,Phoenix
_3o05Wdjfc8jOvGZ_q177Q,UNKNOWN,UNKNOWN,Mesa
ZaJ22OpQrrUEVKxe_Ekp5A,UNKNOWN,UNKNOWN,Phoenix
_ouQAO8mIQ3WN4DOmclm5Q,UNKNOWN,UNKNOWN,Las Vegas
UkqdcwYv6_c-yW1JPCKlUA,UNKNOWN,UNKNOWN,Scottsdale
DUSE6Jti1ssKjxZrPq5Aag,UNKNOWN,UNKNOWN,Glendale
WfQojfN1xWzm58gIY_Fa_w,UNKNOWN,UNKNOWN,Pittsburgh
kByQQ4yd7ZbA0MAQKmRVvg,UNKNOWN,UNKNOWN,Concord
biy9tjz_ZwRGBITRDIEZtg,UNKNOWN,UNKNOWN,Charlotte
X6iU1PGjoztDwFdhV4RumA,UNKNOWN,UNKNOWN,Mesa
JHig8mlm3RPZMCP_Hv3Y1A,UNKNOWN,UNKNOWN,Mesa
Ohy6TtDSeJkVAtIHXP7pMw,UNKNOWN,UNKNOWN,Las Vegas
SnvwmR7Uh5eRJtnHHf5pJg,UNKNOWN,UNKNOWN,Las Vegas
SiU4UtsIJ4kkFZhDpKT6Xg,UNKNOWN,UNKNOWN,Phoenix
wIMhHjK6LuGsvpXWR4ntPg,UNKNOWN,UNKNOWN,Mesa
9-Jw-cBswuui_MRh0Vm7YA,UNKNOWN,UNKNOWN,Phoenix
c7AcpP5XqYUuz0F5wmD5wQ,UNKNOWN,UNKNOWN,Scottsdale
h8fkA6hpT3SyJqgvBZfl3w,UNKNOWN,UNKNOWN,Scottsdale
